['N', 'date', 'time', 'timestamp','1000','50 000','100 000','200 000','300 000','400 000','500 000','600 000','700 000','800 000','900 000','1 000 000','1 500 000'
[0,'2023-07-28','12:50:30',1690548630.591300,3.415935E-05,0.10136804128961800,0.2654242740970720,0.42415859655091000,0.5795329106727390,0.6318222980889200,0.7716534626295726],0.7515244325403070,0.8762097090566950,1.0195375521228700,1.1272764099848300,1.3401698155843500,2.1849973130586700
[1,'2023-07-28','13:11:02',1690549862.935280,3.417541E-05,0.054400753292114200,0.14009176265980700,0.293486649137094,0.4499322642860340,0.6129765450725130,0.7250013089618221],0.4205495030077340,0.5456505813827730,0.6894563957476270,0.797554542361226,1.011157907277640,1.8588027449664500
[2,'2023-07-28','13:31:29',1690551089.563260,3.416977E-05,0.20669823107894600,0.28366700752839300,0.41749568372362900,0.5444488293621530,0.6293784788689580,0.8656965813383266],0.7637866934325500,0.8985076960047000,1.0141836351838700,1.157743628086620,1.3122726390700600,2.2082875945110500
[3,'2023-07-28','13:51:04',1690552264.823270,3.419462E-05,0.0833622874191775,0.16463048520650100,0.30606465735365900,0.4721196785779820,0.5955197600551690,0.7364768184053929],0.7255344602455410,0.8614609260885540,0.9961325044335470,1.1430590396384200,1.2926256833537900,2.1411574811430700
[4,'2023-07-28','14:12:45',1690553565.999310,3.410469E-05,0.08247365148976370,0.11552291721160700,0.29318426370603800,0.6166944849039600,0.7568867166055500,0.8986038374837477],0.8091360848715250,0.9467742318458510,1.0884350039733700,1.2284129219409600,1.3841137826998000,2.222808590916810
[5,'2023-07-28','14:34:20',1690554860.075290,3.401611E-05,0.14114704959406800,0.37495254345928700,0.5521524507184670,0.5435251291470140,0.6741054618299390,0.8077752306462855],0.7437588484842910,0.8770334475402710,1.0198336445571800,1.1662538371854700,1.3159235731199700,2.224829931576240
[6,'2023-07-28','14:54:45',1690556085.059270,3.398321E-05,0.23772941195321100,0.2968204256053040,0.41780790702713900,0.5231429327767640,0.6433635755054890,0.766718497327247],0.7821703096513350,0.9350663302968770,1.0740531271275600,1.225739993695210,1.375210183536670,2.32616493188209
[7,'2023-07-28','15:11:57',1690557117.827400,3.394495E-05,0.183681703726279,0.2514208588200400,0.4046851577017490,0.47150879736494700,0.5371851115488370,0.6548277386563655],0.7919241069561170,0.7422293738485590,1.0822522104992800,1.233097097217000,1.3881360303359000,2.408883996576420
[8,'2023-07-28','15:14:13',1690557253.8713,3.394495E-05,0.05664495625082110,0.13396748646683000,0.2716053725071110,0.47057544106193900,0.7587158643649020,0.7032590221853781],0.7251594839761990,0.9249177860836820,1.0282881150470000,1.1792152944578600,1.3343388083115000,2.355643638632670
[9,'2023-07-28','15:34:27',1690558467.743310,3.405815E-05,-0.27664726515330100,-0.19906687889626100,-0.060969996489816900,0.138663599681351,0.4277649168998470,0.37212313662099916],0.7755198082791990,0.9751767766265540,1.0516115731651300,1.2026862617515900,1.356023378814540,2.3836080927881100
[10,'2023-07-28','15:54:09',1690559649.147290,3.404924E-05,0.10151790051175200,0.15850872270655700,0.2760200252974560,0.38984782965823700,0.5093852742172370,0.6336612913409851],0.8063837153074620,0.9539016604098410,1.0956156834988900,1.2466231864811000,1.399892111797580,2.427019840550370
[11,'2023-07-28','16:13:25',1690560805.459260,3.408349E-05,0.0793724773431137,0.14883272959544100,0.251505527104527,0.35015780042793700,0.40930804622748000,0.5967735340232849],0.924428790905111,0.972844514697158,1.1580602701443000,1.3105518558705300,1.4745005670658500,2.4941804715299900
[12,'2023-07-28','16:34:18',1690562058.655310,3.405907E-05,0.07334746157575010,0.1294947649815160,0.2662495327744380,0.36716365772370800,0.5294060970705060,0.66799355258064],0.9061618362836160,0.989358450038381,1.137023688640850,1.28860713765674,1.4420528091414700,2.4627171248712000
[13,'2023-07-28','16:54:14',1690563254.275300,3.407179E-05,0.06843852470846910,0.12563575985309700,0.24544377471365000,0.32995390190025400,0.45398828333853200,0.5780014862011171],0.8609664662121480,1.0038587220796600,1.1182543949561800,1.2895580545896100,1.4136767670906100,2.4445175048723500
[14,'2023-07-28','17:15:05',1690564505.567320,3.41381E-05,-0.1260467618416780,-0.06873821030707460,0.2830266293473470,0.16764074692548500,0.5000349712002360,0.505928523612468],0.8149238920125020,0.957155732154618,1.1711516446485000,1.3210755772991800,1.4759626441082100,2.5144816040415200
[15,'2023-07-28','17:35:02',1690565702.468280,3.422265E-05,-0.1430389523154790,-0.08242035228929010,0.03605711146295220,0.1502695022058730,0.28281458889841800,0.408142913028783],0.8866121204144410,1.0313714516557200,1.1839025844074300,1.321046679020190,1.4884258475441100,2.5181894757962200
[16,'2023-07-28','17:43:44',1690566224.949450,3.424132E-05,0.09502394248328020,0.15947334752876000,0.28084087484643300,0.3987527460855770,0.5315260048654980,0.6761191648573259],0.8638120620532420,1.005644150236440,1.18992178031408,1.3388431103144900,1.4674745563151500,2.503151479867850
[17,'2023-07-28','17:54:15',1690566855.895120,3.422395E-05,0.03103529125765190,0.09777232564890430,0.2117711138269980,0.35022136299113500,0.5819845559171310,0.7265043664239101],0.6495534035498590,0.9301913185704370,1.0736923701589200,1.0710593953467400,1.3728851363409300,2.1149022957937500
[18,'2023-07-28','18:13:26',1690568006.363290,3.420873E-05,0.07549327003765430,0.14220062528130500,0.2561487161682980,0.39453739404120800,0.5249921556384440,0.663937122380645],0.6727911668605340,0.8361570770143060,1.0420197112536200,1.103020448859350,1.3579166399703700,2.155732003081870
[19,'2023-07-28','18:32:24',1690569144.675300,3.416802E-05,0.0806565733411162,0.18174402408509100,0.3226048778073790,0.41277648068424400,0.5465494098227450,0.6846498241018963],0.7828533058540610,0.9097507337679080,1.0706588827073200,1.217360982453560,1.3547931032962700,2.3988607805944300
[20,'2023-07-28','18:52:57',1690570377.299300,3.414096E-05,0.08281596378611770,0.16430668332746700,0.3022268776911260,0.43109963426286400,0.6253134228668250,0.7085948547612162],0.7550730106040790,0.9169980101365670,1.0431669420761100,1.203483021772440,1.3609327612137200,2.373411757136640
[21,'2023-07-28','19:13:48',1690571628.363290,3.413596E-05,0.08223555429822230,0.1626792203529140,0.30193673863961100,0.44568166423006500,0.5843853753369790,0.7231362450949064],0.7543721392465980,0.9232545281339950,1.0371003610531200,1.2215654628617600,1.3370645419043700,2.3758067989541400
[22,'2023-07-28','19:33:42',1690572822.743290,3.414699E-05,0.04995015960487590,0.13041981859008400,0.2697223337195990,0.40003581247893300,0.5312244290234110,0.6835242994821726],0.7883885056414780,0.990319471825245,1.0743115373137900,1.2253199940214800,1.3682579758978900,2.4033259930783500
[23,'2023-07-28','19:52:53',1690573973.48331,3.4147E-05,0.12859770150767200,0.20458571370326700,0.33355030713886400,0.46804087389824600,0.6021238767753660,0.7410635511295283],0.6660524236326500,0.9155412936086410,0.9477459017785320,1.189929909513570,1.3541438919436500,2.368357977585050
[24,'2023-07-28','20:11:13',1690575073.20326,3.414492E-05,0.11771481784157300,0.1944857278861750,0.3243797331370930,0.44315645708591900,0.5838229766219310,0.7136136541845275],0.7075888279441360,0.9569733743648070,0.9891645162056480,1.2445722135379400,1.395392571402480,2.1896494894335900
[25,'2023-07-28','20:16:44',1690575404.559320,3.414655E-05,0.07475982524574930,0.14496555817120800,0.2745291742580350,0.36389439907745200,0.4892446633647150,0.6225906925119205],0.7765039235674470,1.0259757553988500,1.0540993651766000,1.3160366631616800,1.3468544728033900,2.375249544522920
[26,'2023-07-28','20:31:15',1690576275.056200,3.413361E-05,0.11262697750156300,0.182806105625545,0.3123206229544590,0.401651982390419,0.5269547445897870,0.6602502416153726],0.8035578277738010,0.9204896796681940,1.0739280734448000,1.218451216082880,1.3817116877488300,2.2553128949118100
